Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0402_HandSolder,89.662000,-87.122000,180.000000,top
C2,22pF,C_0402_HandSolder,88.061800,-88.442800,90.000000,top
C3,0.1uF,C_0402_HandSolder,239.268000,-79.375000,90.000000,top
C4,0.1uF,C_0402_HandSolder,77.724000,-83.312000,0.000000,top
C5,0.1uF,C_0402_HandSolder,79.883000,-81.915000,225.000000,top
C6,0.1uF,C_0402_HandSolder,81.305400,-87.731600,0.000000,top
C7,0.1uF,C_0402_HandSolder,90.805000,-82.448400,135.000000,top
C8,4.7uF,C_0402_HandSolder,82.931000,-78.740000,45.000000,top
C9,1uF,C_0402_HandSolder,81.102200,-86.741000,180.000000,top
C10,4.7uF,C_0402_HandSolder,247.523000,-86.808500,270.000000,top
D2,D,D_SOD-123,276.500000,-42.600000,0.000000,top
D3,D,D_SOD-123,276.500000,-59.600000,0.000000,top
D4,D,D_SOD-123,276.500000,-76.600000,0.000000,top
D5,D,D_SOD-123,51.300000,-42.600000,0.000000,top
D6,D,D_SOD-123,51.300000,-59.600000,0.000000,top
D7,D,D_SOD-123,51.300000,-76.600000,0.000000,top
D8,D,D_SOD-123,258.500000,-33.600000,0.000000,top
D9,D,D_SOD-123,258.500000,-50.600000,0.000000,top
D10,D,D_SOD-123,258.500000,-67.600000,0.000000,top
D11,D,D_SOD-123,69.300000,-33.600000,0.000000,top
D12,D,D_SOD-123,69.300000,-50.600000,0.000000,top
D13,D,D_SOD-123,69.300000,-67.600000,0.000000,top
D14,D,D_SOD-123,240.500000,-30.600000,0.000000,top
D15,D,D_SOD-123,240.500000,-47.600000,0.000000,top
D16,D,D_SOD-123,240.500000,-64.600000,0.000000,top
D17,D,D_SOD-123,251.850000,-85.300000,180.000000,top
D18,D,D_SOD-123,87.300000,-30.600000,0.000000,top
D19,D,D_SOD-123,87.300000,-47.600000,0.000000,top
D20,D,D_SOD-123,87.300000,-64.600000,0.000000,top
D21,D,D_SOD-123,102.250000,-98.900000,183.000000,top
D22,D,D_SOD-123,222.500000,-33.600000,0.000000,top
D23,D,D_SOD-123,222.500000,-50.600000,0.000000,top
D24,D,D_SOD-123,222.500000,-67.600000,0.000000,top
D25,D,D_SOD-123,206.100000,-100.900000,195.000000,top
D26,D,D_SOD-123,105.300000,-33.600000,0.000000,top
D27,D,D_SOD-123,105.300000,-50.600000,0.000000,top
D28,D,D_SOD-123,105.300000,-67.600000,0.000000,top
D29,D,D_SOD-123,121.750000,-100.950000,345.000000,top
D30,D,D_SOD-123,204.500000,-36.100000,0.000000,top
D31,D,D_SOD-123,204.500000,-53.100000,0.000000,top
D32,D,D_SOD-123,204.500000,-70.100000,0.000000,top
D33,D,D_SOD-123,178.550000,-103.750000,126.000000,top
D34,D,D_SOD-123,123.300000,-36.100000,0.000000,top
D35,D,D_SOD-123,123.300000,-53.100000,0.000000,top
D36,D,D_SOD-123,123.300000,-70.100000,0.000000,top
D37,D,D_SOD-123,149.300000,-103.900000,54.000000,top
F1,500mA,Fuse_1206_3216Metric,59.975000,-37.525000,270.000000,top
G***,LOGO,top,-71.018400,-78.613000,0.000000,top
J1,USB_C Main,USB-C-12-Pin-MidMount,51.200000,-30.850000,0.000000,top
J2,USB_C  I2C_L,USB-C-12-Pin-MidMount,140.500000,-80.700000,324.000000,top
J3,USB_C  I2C_R,USB-C-12-Pin-MidMount,187.120119,-80.893708,36.000000,top
R1,5.1k,R_0402_HandSolder,55.400000,-39.550000,0.000000,top
R2,5.1k,R_0402_HandSolder,46.625000,-39.500000,180.000000,top
R3,4.7k,R_0402_HandSolder,136.600000,-89.000000,144.000000,top
R4,4.7k,R_0402_HandSolder,133.700000,-86.900000,324.000000,top
R5,10k,R_0402_HandSolder,240.792000,-86.778500,90.000000,top
R6,22R,R_0402_HandSolder,60.700000,-43.250000,90.000000,top
R7,22R,R_0402_HandSolder,59.725000,-43.250000,90.000000,top
R8,10k,R_0402_HandSolder,87.503000,-90.842500,270.000000,top
R9,10k,R_0402_HandSolder,87.719500,-78.232000,180.000000,top
R10,10k,R_0402_HandSolder,241.808000,-86.778500,90.000000,top
R11,10k,R_0402_HandSolder,242.824000,-86.778500,90.000000,top
R12,10k,R_0402_HandSolder,243.840000,-86.778500,90.000000,top
R13,10k,R_0402_HandSolder,244.856000,-86.778500,90.000000,top
R14,10k,R_0402_HandSolder,245.872000,-86.778500,90.000000,top
SW1,SW_Push,Micro_Push_Button_3x6x2.5mm,90.900000,-95.500000,125.000000,top
U1,ATmega32U4-AU,QFN-44-1EP_7x7mm_P0.5mm_EP5.15x5.15mm,85.090000,-83.312000,45.000000,top
U2,PCA9535PW,TSSOP-24_4.4x7.8mm_P0.65mm,244.000000,-81.692000,90.000000,top
Y1,16MHZ,Crystal_SMD_3225-4Pin_3.2x2.5mm,90.685800,-89.345400,180.000000,top
