Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22nF,C_0402_HandSolder,93,-84.8,315,top
C2,22nF,C_0402_HandSolder,92.8,-88.2,45,top
C3,0.1uF,C_0402_HandSolder,226.6825,-83.4,0,top
C4,0.1uF,C_0402_HandSolder,76.6,-81.5,315,top
C5,0.1uF,C_0402_HandSolder,76.7,-87,0,top
C6,0.1uF,C_0402_HandSolder,78.798717,-76.501283,45,top
C7,0.1uF,C_0402_HandSolder,88.7,-82.2,135,top
C8,4.7uF,C_0402_HandSolder,78.1,-75.8,45,top
C9,1uF,C_0402_HandSolder,76.7,-86,180,top
D1,D,D_SOD-123,86.7,-89.2,315,top
D2,D,D_SOD-123,276.5,-42.6,0,top
D3,D,D_SOD-123,276.5,-59.6,0,top
D4,D,D_SOD-123,276.5,-76.6,0,top
D5,D,D_SOD-123,51.3,-42.6,0,top
D6,D,D_SOD-123,51.3,-59.6,0,top
D7,D,D_SOD-123,51.3,-76.6,0,top
D8,D,D_SOD-123,258.5,-33.6,0,top
D9,D,D_SOD-123,258.5,-50.6,0,top
D10,D,D_SOD-123,258.5,-67.6,0,top
D11,D,D_SOD-123,69.3,-33.6,0,top
D12,D,D_SOD-123,69.3,-50.6,0,top
D13,D,D_SOD-123,69.3,-67.6,0,top
D14,D,D_SOD-123,240.5,-30.6,0,top
D15,D,D_SOD-123,240.5,-47.6,0,top
D16,D,D_SOD-123,240.5,-64.6,0,top
D17,D,D_SOD-123,225.55,-98.85,177,top
D18,D,D_SOD-123,87.3,-30.6,0,top
D19,D,D_SOD-123,87.3,-47.6,0,top
D20,D,D_SOD-123,87.3,-64.6,0,top
D21,D,D_SOD-123,102.25,-98.9,183,top
D22,D,D_SOD-123,222.5,-33.6,0,top
D23,D,D_SOD-123,222.5,-50.6,0,top
D24,D,D_SOD-123,222.5,-67.6,0,top
D25,D,D_SOD-123,206.1,-100.9,195,top
D26,D,D_SOD-123,105.3,-33.6,0,top
D27,D,D_SOD-123,105.3,-50.6,0,top
D28,D,D_SOD-123,105.3,-67.6,0,top
D29,D,D_SOD-123,121.75,-100.95,345,top
D30,D,D_SOD-123,204.5,-36.1,0,top
D31,D,D_SOD-123,204.5,-53.1,0,top
D32,D,D_SOD-123,204.5,-70.1,0,top
D33,D,D_SOD-123,178.55,-103.75,126,top
D34,D,D_SOD-123,123.3,-36.1,0,top
D35,D,D_SOD-123,123.3,-53.1,0,top
D36,D,D_SOD-123,123.3,-70.1,0,top
D37,D,D_SOD-123,149.3,-103.9,54,top
D38,D,D_SOD-123,46.25,-55.85,0,top
D39,D,D_SOD-123,46.25,-72.85,0,top
D40,D,D_SOD-123,128.5,-49.35,0,top
D41,D,D_SOD-123,78.25,-33.35,90,top
D42,D,D_SOD-123,128.5,-66.35,0,top
D43,D,D_SOD-123,199.5,-49.35,0,top
D44,D,D_SOD-123,96.25,-35.35,90,top
D45,D,D_SOD-123,87,-60.85,0,top
D46,D,D_SOD-123,249.5,-35.35,90,top
D47,D,D_SOD-123,199.5,-66.35,0,top
D48,D,D_SOD-123,134.25,-97.85,75,top
D49,D,D_SOD-123,193,-96.85,105,top
D50,D,D_SOD-123,231.5,-33.35,90,top
D51,D,D_SOD-123,281.5,-72.85,0,top
D52,D,D_SOD-123,240.5,-60.85,0,top
D53,D,D_SOD-123,281.5,-55.85,0,top
F1,500mA,Fuse_1206_3216Metric,59.975,-35.025,270,top
R1,5.1k,R_0402_HandSolder,55.4,-39.55,0,top
R2,5.1k,R_0402_HandSolder,46.625,-39.5,180,top
R3,4.7k,R_0402_HandSolder,133.028707,-88.227504,315,top
R4,4.7k,R_0402_HandSolder,134.6,-89.8,135,top
R5,10k,R_0402_HandSolder,228.4,-84,270,top
R6,22R,R_0402_HandSolder,60.7,-43.25,90,top
R7,22R,R_0402_HandSolder,59.725,-43.25,90,top
R8,10k,R_0402_HandSolder,88,-88.1,315,top
R9,10k,R_0402_HandSolder,85.5,-77.4,180,top
U2,TCA9555RTWR,WQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm,232.3,-83.45,90,top
U3,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,82.761085,-82.911863,45,top
Y1,16MHZ,Crystal_SMD_3225-4Pin_3.2x2.5mm,91.138041,-86.68085,225,top
