Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0402_HandSolder,81.2,-86.5,270,top
C2,22pF,C_0402_HandSolder,76.4,-84.4,270,top
C3,0.1uF,C_0402_HandSolder,237.7,-79.9,90,top
C4,0.1uF,C_0402_HandSolder,92.9,-91.8,125,top
C5,0.1uF,C_0402_HandSolder,95.1,-77.55,125,top
C6,0.1uF,C_0402_HandSolder,80.75,-77.5325,270,top
C7,0.1uF,C_0402_HandSolder,98.55,-82.35,215,top
C8,4.7uF,C_0402_HandSolder,82.6,-77.5325,270,top
C9,1uF,C_0402_HandSolder,84.3,-76.95,180,top
D2,D,D_SOD-123,276.5,-42.6,0,top
D3,D,D_SOD-123,276.5,-59.6,0,top
D4,D,D_SOD-123,276.5,-76.6,0,top
D5,D,D_SOD-123,51.3,-42.6,0,top
D6,D,D_SOD-123,51.3,-59.6,0,top
D7,D,D_SOD-123,51.3,-76.6,0,top
D8,D,D_SOD-123,258.5,-33.6,0,top
D9,D,D_SOD-123,258.5,-50.6,0,top
D10,D,D_SOD-123,258.5,-67.6,0,top
D11,D,D_SOD-123,69.3,-33.6,0,top
D12,D,D_SOD-123,69.3,-50.6,0,top
D13,D,D_SOD-123,69.3,-67.6,0,top
D14,D,D_SOD-123,240.5,-30.6,0,top
D15,D,D_SOD-123,240.5,-47.6,0,top
D16,D,D_SOD-123,240.5,-64.6,0,top
D17,D,D_SOD-123,251.85,-85.3,180,top
D18,D,D_SOD-123,87.3,-30.6,0,top
D19,D,D_SOD-123,87.3,-47.6,0,top
D20,D,D_SOD-123,87.3,-64.6,0,top
D21,D,D_SOD-123,102.25,-98.9,183,top
D22,D,D_SOD-123,222.5,-33.6,0,top
D23,D,D_SOD-123,222.5,-50.6,0,top
D24,D,D_SOD-123,222.5,-67.6,0,top
D25,D,D_SOD-123,206.1,-100.9,195,top
D26,D,D_SOD-123,105.3,-33.6,0,top
D27,D,D_SOD-123,105.3,-50.6,0,top
D28,D,D_SOD-123,105.3,-67.6,0,top
D29,D,D_SOD-123,121.75,-100.95,345,top
D30,D,D_SOD-123,204.5,-36.1,0,top
D31,D,D_SOD-123,204.5,-53.1,0,top
D32,D,D_SOD-123,204.5,-70.1,0,top
D33,D,D_SOD-123,178.55,-103.75,126,top
D34,D,D_SOD-123,123.3,-36.1,0,top
D35,D,D_SOD-123,123.3,-53.1,0,top
D36,D,D_SOD-123,123.3,-70.1,0,top
D37,D,D_SOD-123,149.3,-103.9,54,top
D40,D,D_SOD-123,128,-49.3,0,top
D43,D,D_SOD-123,199.95,-49.3,0,top
D44,D,D_SOD-123,114.4,-36.5,90,top
D50,D,D_SOD-123,213.5,-37.7,90,top
D52,D,D_SOD-123,258.5,-46.8,0,top
F1,500mA,Fuse_1206_3216Metric,59.975,-37.525,270,top
J1,USB_C_midMount,USB-C-12-Pin-MidMount,51.2,-30.85,0,top
J2,USB_C_midMount,USB-C-12-Pin-MidMount,140.5,-80.7,324,top
J3,USB_C_midMount,USB-C-12-Pin-MidMount,187.120119,-80.893708,36,top
R1,5.1k,R_0402_HandSolder,55.4,-39.55,0,top
R2,5.1k,R_0402_HandSolder,46.625,-39.5,180,top
R3,4.7k,R_0402_HandSolder,136.6,-89,144,top
R4,4.7k,R_0402_HandSolder,133.7,-86.9,324,top
R5,10k,R_0402_HandSolder,238.9,-79.9,270,top
R6,22R,R_0402_HandSolder,60.7,-43.25,90,top
R7,22R,R_0402_HandSolder,59.725,-43.25,90,top
R8,10k,R_0402_HandSolder,92,-92.4,305,top
R9,10k,R_0402_HandSolder,99.05,-86.05,215,top
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,89.7,-83.7,305,top
U2,TCA9535PWR,TSSOP-24_4.4x7.8mm_P0.65mm,244,-82.2,90,top
Y1,16MHZ,Crystal_SMD_3225-4Pin_3.2x2.5mm,78.8,-84.5,90,top
